time,close,high,low,open,volumefrom,volumeto
1486771200,32.58,33.95,32.38,32.51,509.14,16863.2
1486857600,31.04,32.9,31.04,32.58,1393.53,44751.21
1486944000,30.71,31.68,30.03,31.04,2328.92,71070.95
1487030400,33.15,33.15,30.24,30.71,2065.32,64984.83
1487116800,33.67,34.08,31.22,33.15,1613.67,53070.02
1487203200,33,34.35,32.65,33.67,1420.63,47851.85
1487289600,32,33.44,31.63,33,818.32,26490.13
1487376000,30.62,32,30.62,32,1352.25,42454.7
1487462400,30.28,30.84,30.18,30.62,753.76,23201.7
1487548800,31.13,31.53,30.28,30.28,1217.84,37491.09
1487635200,30.21,31.13,22,31.13,1382.35,41514.27
1487721600,27,30.21,27,30.21,2024.43,57749.58
1487808000,30.01,33.01,26.43,27,2832.22,81345.67
1487894400,30.35,32.01,28.01,30.01,1405.57,42702.04
1487980800,29.02,30.72,28.58,30.35,947.68,28238.05
1488067200,29.24,30.01,28.01,29.02,713.26,20994.95
1488153600,36.16,38.94,29.24,29.24,8409.56,286481.88
1488240000,36.87,38.52,34.7,36.16,5950.67,219480.84
1488326400,41.65,42.01,36.87,36.87,4326.38,172455.6
1488412800,39.7,42.9,35,41.65,5270.13,213841.35
1488499200,41.38,42.2,37.71,39.7,3856.58,154221.69
1488585600,41.5,43.01,35,41.38,2498.54,103283.89
1488672000,39.4,41.5,38.83,41.5,1227.18,48850.84
1488758400,39.49,40.03,37.67,39.4,2504.82,97730.75
1488844800,37.83,40.63,37.4,39.49,1876.57,72138.9
1488931200,36,37.83,34.88,37.83,2038.83,74293.52
1489017600,36.55,37.49,34.15,36,1325.75,48187.47
1489104000,34.4,39.01,32.01,36.55,7034.11,256172.92
1489190400,38.91,39.44,34.4,34.4,5310.87,200869.5
1489276800,39.14,44,37.27,38.91,4526.62,177643.87
1489363200,48,48.99,39.14,39.14,13417.93,607970.02
1489449600,44.03,49,42.89,48,6167.29,279976.39
1489536000,46.3,50,43.02,44.03,7494.86,338023.05
1489622400,47.85,53,45.01,46.3,10211.28,486222.33
1489708800,45.02,53.01,40.1,47.85,18125.35,882290.63
1489795200,64,80.41,45,45.02,51698.57,3492644.89
1489881600,65.01,78.74,50,64,23621.43,1616564.07
1489968000,71.68,78,65.01,65.01,13032.85,954374.23
1490054400,65.04,75,63,71.68,14992.59,1017789.27
1490140800,66.42,70.27,63.51,65.04,7023.8,468986
1490227200,65.49,68.14,64.68,66.42,3511.45,233899.67
1490313600,62.89,80,60.4,65.49,22567.72,1469410.31
1490400000,61.94,66.32,61.78,62.89,8581.81,550990.11
1490486400,58.26,63.79,58,61.94,5466.41,333844.69
1490572800,56.42,61.2,53,58.26,7319.02,417047.51
1490659200,63.11,74.77,52.79,56.42,24808.73,1637926.79
1490745600,62.54,67.68,61,63.11,6795.91,430872
1490832000,60.56,64.1,60.56,62.54,5965.18,371326.18
1490918400,62.22,64.91,60.12,60.56,6196.49,387388.66
1491004800,61.57,64.33,61.38,62.22,4623.09,289743.66
1491091200,59.25,62.4,59.15,61.57,7955.3,485652.26
1491177600,59.26,63.81,59.25,59.25,6427.11,399411
1491264000,59.55,60.45,57.52,59.26,3864.03,228772.32
1491350400,59.99,61.5,57.79,59.55,4332.99,256728.34
1491436800,59.31,64,54.01,59.99,7204.06,410195.06
1491523200,60.56,62.84,55.54,59.31,6584.63,389703.59
1491609600,63.41,66.44,58.13,60.56,7338.82,464022.52
1491696000,63.48,78.95,62.82,63.41,25693.52,1782439.82
1491782400,64.86,70.24,62.53,63.48,12157.22,819678.46
1491868800,61.78,66.64,60.03,64.86,5606.6,360161.66
1491955200,62.32,64.86,60.93,61.78,7653.66,481568.61
1492041600,64.13,65.01,59.28,62.32,9099.16,581592.34
1492128000,72.09,73.51,63.28,64.13,16422.71,1141662.63
1492214400,75.24,77.5,62,72.09,16927.21,1268771.4
1492300800,71,75.24,70,75.24,6834.52,501897.18
1492387200,69.66,72.35,69,71,5084.62,366417.44
1492473600,69.71,72.5,69.29,69.66,11106.63,813597.02
1492560000,70,72.04,69.4,69.71,8154.75,605517.37
